ID	CT1-1	CT1-2	CT1-3	CT2-1	CT2-2	CT2-3	CT3-1	CT3-2	CT3-3	CT4-1	CT4-2	CT4-3
EdulChr20G00084020	0.95	1.37	0.79	0.17	0.06	0.13	0.2	0.32	0.21	0.25	0.4	0.25
novel1500	0.29	0.44	0.27	0.93	0.78	0.75	1.19	0.55	0.77	0	0.33	0.17
EdulChr35G00137610	0.68	0.73	0.76	2.1	1.56	2.06	3.56	4.32	3.65	2.17	2.3	2.8
EdulChr3G00014680	2.05	2.3	2.31	2.02	2.45	2.47	3.13	3.25	3.17	2.01	2.46	2.25
EdulChr8G00034850	15.39	14.1	13.23	32.65	33.32	30.4	27.28	26.35	25.48	26.42	26.02	22.77
EdulChr73G00244860	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr74G00248230	14.35	15.02	12.9	13.4	12.96	12.61	19.39	21.23	21.19	7.37	7.1	7.49
EdulChr51G00188300	37.83	37.85	34.71	39.8	43.15	43.57	57	56.87	55.71	28.75	29.92	30.57
EdulChr94G00298810	12.85	15.32	8.96	6.16	5.43	6.68	6.78	6.73	7.45	4.99	4.98	5.47
EdulChr90G00290200	0.82	0.77	0.76	1.54	2.09	1.38	2.97	2.69	2.59	1.67	2.03	2.3
EdulChr51G00187830	9.1	13.84	0	2.54	0	0	0	0	0	0	0	0
EdulChr94G00300240	10.42	9.92	9.39	4.84	5.34	6.58	5.03	3.64	3.49	5.49	6.61	6.71
EdulChr10G00044500	2.89	2.86	2.1	2.88	2.92	3.47	1.17	1.25	1.56	2.83	2.53	2.43
